CompanyID,Company,Industry,Employee_Count,Followers
1,PwC,Accounting,10001,4862218
2,Growthingly,Advertising Services,30,1160
3,IndiGo (InterGlobe Aviation Ltd),Airlines and Aviation,10001,404852
4,The Souled Store,Apparel & Fashion,350,133046
5,Eaton,"Appliances, Electrical, and Electronics Manufacturing",10001,1296681
6,Honeywell,"Appliances, Electrical, and Electronics Manufacturing",10001,2300683
7,TE Connectivity,"Appliances, Electrical, and Electronics Manufacturing",10001,487035
8,Siemens,Automation Machinery Manufacturing,10001,5913207
9,NatWest Group,Banking,10001,539071
10,BNP Paribas,Banking,10001,1234052
11,ekaterra,Beverage Manufacturing,10001,26687
12,Roche,Biotechnology Research,10001,2836586
13,Syneos Health Commercial Solutions,Biotechnology Research,10001,150911
14,Wishup.co,Business Consulting and Services,350,36602
15,PwC India,Business Consulting and Services,7500,954334
16,Boston Consulting Group (BCG),Business Consulting and Services,10001,3529745
17,Deloitte Asia Pacific,Business Consulting and Services,10001,7802
18,Brainnest,Business Consulting and Services,126,208673
19,Mactores,Business Consulting and Services,126,8412
20,Bayer,Chemical Manufacturing,10001,4678117
21,Ecolab,Chemical Manufacturing,10001,466359
22,SecureLayer7,Computer and Network Security,30,18837
23,"Alphacom, LLC",Computers and Electronics Manufacturing,6,266
24,KiE Square Analytics,Data Infrastructure and Analytics,126,9617
25,Datacrew.ai,Data Infrastructure and Analytics,6,171
26,Atkins,Design,10001,758004
27,First Rain,Design Services,30,375
28,Arup,Design Services,10001,750241
29,Gamahouse Publishing,Education Administration Programs,30,128
30,Newton School,E-Learning Providers,350,76950
31,Intern Theory,E-Learning Providers,6,233
32,Great Learning,E-Learning Providers,3000,193401
33,Codingal,E-Learning Providers,30,17369
34,MiDigiWorld,E-Learning Providers,126,658
35,Codeyoung,E-Learning Providers,350,15736
36,Careervira,E-Learning Providers,30,1667
37,jaro education,E-Learning Providers,750,43952
38,PlaySimple Games,Entertainment Providers,350,42805
39,Mahindra Group,Executive Offices,10001,1111000
40,Just Career Management Private Limited,Executive Search Services,30,14094
41,_Royal_,Farming,7500,3724
42,Barclays,Financial Services,10001,1327414
43,Synchrony,Financial Services,10001,111553
44,Capco,Financial Services,3000,203350
45,Bankwest,Financial Services,3000,38291
46,Wells Fargo,Financial Services,10001,2070870
47,VISTRA,Financial Services,7500,162463
48,"Ameriprise Financial Services, LLC",Financial Services,7500,140763
49,Tide,Financial Services,750,215250
50,Global Payments Inc.,Financial Services,10001,162116
51,Deutsche Bank,Financial Services,10001,1806593
52,JPMorgan Chase & Co.,Financial Services,10001,3600130
53,Yubi,Financial Services,750,52913
54,Commonwealth Bank,Financial Services,10001,447842
55,American Express,Financial Services,10001,1805064
56,TresVista,Financial Services,3000,54707
57,PayMe,Financial Services,350,8157
58,Synapse,Financial Services,350,7059
59,Cargill,Food and Beverage Manufacturing,10001,2077035
60,Bhanzu,Higher Education,750,59434
61,Labcorp,Hospitals and Health Care,10001,218321
62,GENWORKS Health,Hospitals and Health Care,350,18784
63,HuQuo,Human Resources Services,30,12088
64,Excellence and Eminence Staffing,Human Resources Services,30,720
65,SourceGrids,Human Resources Services,6,3132
66,Acme Services,Human Resources Services,126,107632
67,AKS ProTalent,Human Resources Services,30,323524
68,Elixir Consulting (A Gi Group Holding company),Human Resources Services,3000,25010
69,Danfoss,Industrial Machinery Manufacturing,10001,339106
70,Wood Mackenzie,Information Services,3000,223159
71,ISG (Information Services Group),Information Services,3000,38573
72,Gartner,Information Services,10001,1487694
73,Argus Media,Information Services,3000,43236
74,TransOrg Analytics,Information Services,126,10984
75,Aristocrat IT Solutions Pvt. Ltd.,Information Technology & Services,126,4475
76,Aeries,Information Technology & Services,3000,10599
77,Societe Generale Global Solution Centre,Information Technology & Services,7500,235137
78,Luxoft India,Information Technology & Services,3000,8196
79,PATH,International Affairs,3000,134902
80,Targray,International Trade and Development,126,59701
81,Trade Brains,Internet Publishing,30,9240
82,FalconX,Investment Management,126,44619
83,Accenture in India,IT Services and IT Consulting,10001,1539538
84,Sutherland,IT Services and IT Consulting,10001,499360
85,Rangam India,IT Services and IT Consulting,750,8285
86,Cognizant,IT Services and IT Consulting,10001,5877476
87,HP,IT Services and IT Consulting,10001,5160689
88,Genpact,IT Services and IT Consulting,10001,2400396
89,InspireXT,IT Services and IT Consulting,126,2518
90,EXL,IT Services and IT Consulting,10001,490730
91,Comviva,IT Services and IT Consulting,3000,154896
92,Inquizity,IT Services and IT Consulting,30,1618
93,FIS,IT Services and IT Consulting,10001,544298
94,Visa,IT Services and IT Consulting,10001,1382419
95,Capgemini,IT Services and IT Consulting,10001,5339549
96,Softline Group,IT Services and IT Consulting,7500,55956
97,ISOURSE TECHNOLOGIES PVT. LTD.,IT Services and IT Consulting,126,4355
98,StatusNeo,IT Services and IT Consulting,350,10218
